timestamp,open,high,low,close,volume
2017-06-30,22.1500,22.9600,20.2610,21.6100,55531152
2017-05-31,22.7700,25.3100,21.2500,22.1400,74944415
2017-04-28,22.5200,23.9750,21.5600,22.6900,47999699
2017-03-31,24.5700,25.3200,20.2400,22.5500,86587403
2017-02-28,24.4900,26.6799,23.5700,24.4400,33058734
2017-01-31,25.4400,26.0500,22.2710,24.4900,61272521
2016-12-30,24.6600,26.8450,24.1300,25.2600,42751940
2016-11-30,24.0100,26.4850,20.1000,24.6900,70837192
2016-10-31,27.5900,27.8600,23.6900,24.0500,51546708
2016-09-30,28.4700,28.6700,26.6920,27.5900,41150304
2016-08-31,30.9700,32.6700,28.2700,28.3900,69617731
2016-07-29,26.8800,31.8500,25.7300,30.9500,58679885
2016-06-30,29.0200,29.3200,25.1800,26.5800,54738215
2016-05-31,32.8100,32.8600,27.5200,29.1000,70061092
2016-04-29,31.7300,33.7200,29.0000,32.8000,66956853
2016-03-31,31.0500,32.9500,28.4000,31.7300,66288834
2016-02-29,26.2000,31.0900,24.7500,30.8200,40186610
2016-01-29,27.0400,29.5500,24.3300,26.2100,57744961
2015-12-31,35.0500,35.1700,27.9000,28.0400,64348729
2015-11-30,46.0300,47.4800,33.0000,35.0300,63994178
2015-10-30,41.3000,47.6200,39.8100,46.0700,27509255
2015-09-30,41.5300,44.4300,39.6600,41.2100,34928040
2015-08-31,45.9800,47.8250,38.6600,42.4800,46230000
2015-07-31,43.2500,47.7600,42.9675,45.8500,36144340
2015-06-30,43.7400,45.5000,41.9700,42.9600,40881250
2015-05-29,38.6300,44.4900,38.4600,43.4100,34188166
2015-04-30,37.8600,41.3000,37.3300,38.5400,29724555
2015-03-31,38.3900,42.6700,37.1400,37.9600,44129970
2015-02-27,35.1100,38.2100,34.5200,36.9700,27137569
2015-01-30,34.0600,39.3000,31.6900,35.2500,71038513
2014-12-31,37.6200,37.6700,31.8100,33.8000,89147041
2014-11-28,42.7600,44.8400,36.8800,37.8100,73714423
2014-10-31,41.1200,43.8900,35.8200,42.7600,59591969
2014-09-30,42.2900,45.4500,41.1850,41.2000,42660660
2014-08-29,41.9900,44.5000,39.4000,42.2000,53760200
2014-07-31,40.5100,46.5900,40.2850,41.9700,62979600
2014-06-30,37.6800,40.9900,35.8900,40.4700,49287100
2014-05-30,39.8800,40.4900,34.7700,37.8500,61350500
2014-04-30,41.0500,45.4800,38.9700,39.6800,70854200
2014-03-31,37.0500,41.5700,35.2700,41.1000,79060200
2014-02-28,34.9700,39.0000,33.1000,37.3100,73240100
2014-01-31,49.1500,50.0000,34.7000,35.0700,129150400
2013-12-31,48.5000,51.5500,44.8700,49.2600,69471300
2013-11-29,55.0900,57.7400,46.6600,48.2500,68025000
2013-10-31,49.5900,56.0000,47.7300,54.8200,37844800
2013-09-30,50.7700,53.2850,48.6500,49.6500,36175100
2013-08-30,49.5200,56.0800,47.0400,50.2100,58152400
2013-07-31,42.0000,49.5200,41.6600,49.0600,45527200
2013-06-28,33.1800,42.8400,33.1600,42.0300,89493000
2013-05-31,34.9500,39.8700,30.9400,33.1600,88798600
2013-04-30,28.0000,35.4200,27.9300,34.9000,77720700
2013-03-28,24.6400,28.6700,23.3600,27.9700,50780100
2013-02-28,24.2900,27.0100,23.4600,25.0600,66812300
2013-01-31,25.5800,25.8700,22.3000,23.2000,81362200
2012-12-31,26.4500,28.3500,23.9200,25.0900,55171400
2012-11-30,22.8400,28.0000,21.4100,26.2500,78022100
2012-10-31,21.4200,24.4900,21.0500,22.8300,55791800
2012-09-28,19.8500,23.7900,19.8300,21.0000,63370000
